title,wd_item,description
Hamlet,http://www.wikidata.org/entity/Q120231,1921 film directed by Svend Gade and Heinz Schall
The Prodigal Son,http://www.wikidata.org/entity/Q1015963,1981 Hong Kong comedy film directed by Sammo Hung
The Story of the Kelly Gang,http://www.wikidata.org/entity/Q1212945,1906 film
Locura de amor,http://www.wikidata.org/entity/Q3766318,1948 film by Juan de Orduña
The Corbett-Fitzsimmons Fight,http://www.wikidata.org/entity/Q3784136,1897 film by Enoch J. Rector
The Fairylogue and Radio-Plays,http://www.wikidata.org/entity/Q3986977,"1908 film by Francis Boggs, Otis Turner"
Miss Jerry,http://www.wikidata.org/entity/Q6876874,1894 film directed by Alexander Black
Robbery Under Arms,http://www.wikidata.org/entity/Q7340830,1907 film by Charles MacMahon
Soldiers of the Cross,http://www.wikidata.org/entity/Q20649328,1900 film
Salome Mad,http://www.wikidata.org/entity/Q15858290,1909 film by Theo Frenkel
Camille,http://www.wikidata.org/entity/Q56206565,2002 film directed by Catherine Veaux-Logeat
The Butterfly,http://www.wikidata.org/entity/Q56357894,2012 film directed by Maksym Buinytskiy
The Red Inn,http://www.wikidata.org/entity/Q1219193,1951 film by Claude Autant-Lara
The Connecticut Yankee,http://www.wikidata.org/entity/Q3520382,1910 film
Abraham Lincoln's Clemency,http://www.wikidata.org/entity/Q4668985,1910 film by Theodore Wharton
His Brother's Wife,http://www.wikidata.org/entity/Q3208991,1936 film by W. S. Van Dyke
The Brand,http://www.wikidata.org/entity/Q3520090,1911 film by Thomas H. Ince
Gentleman Joe,http://www.wikidata.org/entity/Q3760167,1912 silent short film by George Nichols
The Life of Moses,http://www.wikidata.org/entity/Q3987999,1909 film by J. Stuart Blackton
"Captain Starlight, or Gentleman of the Road",http://www.wikidata.org/entity/Q5036807,1911 film by Alfred Rolfe
Amor fatal,http://www.wikidata.org/entity/Q12720552,1911 film directed by Grigore Brezeanu
Trail to the West,http://www.wikidata.org/entity/Q15106874,1910 film by Broncho Billy Anderson
A Night in May,http://www.wikidata.org/entity/Q16933629,1938 film by Georg Jacoby
The Battle of Trafalgar,http://www.wikidata.org/entity/Q20802168,1911 film by J. Searle Dawley
The Golden West,http://www.wikidata.org/entity/Q7737123,1911 silent film directed by George Young
The Miner's Curse,http://www.wikidata.org/entity/Q7751549,1911 film by Alfred Rolfe
The Mystery of a Hansom Cab,http://www.wikidata.org/entity/Q7752899,1925 film by Arthur Shirley
The Infant at Snakeville,http://www.wikidata.org/entity/Q15111436,1911 film by Broncho Billy Anderson
The Four Devils,http://www.wikidata.org/entity/Q15271102,1911 film by Robert Dinesen
The Fatal Wedding,http://www.wikidata.org/entity/Q15865464,1914 silent short film by Lawrence Marston and produced by the Klaw & Erlanger and Biograph Company
Oedipus Rex,http://www.wikidata.org/entity/Q17040759,1957 film by Tyrone Guthrie
Menneskedyret,http://www.wikidata.org/entity/Q20494006,1911 film
In the Prime of Life,http://www.wikidata.org/entity/Q31092879,1971 film directed by Sándor Simó
Lucha por la herencia,http://www.wikidata.org/entity/Q118382879,film
Madero al sur del país,http://www.wikidata.org/entity/Q118383493,1911 film
Den sorte drøm,http://www.wikidata.org/entity/Q943944,1911 film by Urban Gad
A Dog's Tale,http://www.wikidata.org/entity/Q2819721,1911 film by Thomas H. Ince
Jane Shore,http://www.wikidata.org/entity/Q6152755,"1915 film by Bert Haldane, Floyd Martin Thornton"
Carmen,http://www.wikidata.org/entity/Q429043,1945 film by Christian-Jaque
Cleopatra,http://www.wikidata.org/entity/Q4430,1963 film by Joseph L. Mankiewicz
The Traitress,http://www.wikidata.org/entity/Q1217200,1911 film by Urban Gad
As You Like It,http://www.wikidata.org/entity/Q2292697,2006 British film directed by Kenneth Branagh
The Clod,http://www.wikidata.org/entity/Q16028342,1912 film by Thomas H. Ince
The Colonel's Son,http://www.wikidata.org/entity/Q16028349,1912 film by Thomas H. Ince
The Devil's Assistant,http://www.wikidata.org/entity/Q16549585,1913 film by Urban Gad
The Adventures of Lieutenant Petrosino,http://www.wikidata.org/entity/Q124459382,1912 film directed by Sidney M. Goldin
Eva,http://www.wikidata.org/entity/Q519910,2011 film directed by Kike Maíllo
Dante's Inferno,http://www.wikidata.org/entity/Q1130910,1935 film by Harry Lachman
The Might of Gold,http://www.wikidata.org/entity/Q1214674,1912 film by Urban Gad
Judith,http://www.wikidata.org/entity/Q1711001,1966 drama film directed by Daniel Mann
From the Manger to the Cross,http://www.wikidata.org/entity/Q1758092,1912 film by Sidney Olcott
Do Men Love Women?,http://www.wikidata.org/entity/Q5286136,1912 film by Alfred Rolfe
Eclipse de sol,http://www.wikidata.org/entity/Q5333040,1943 film by Luis Saslavsky
The Crime and the Criminal,http://www.wikidata.org/entity/Q7728064,1912 film by Alfred Rolfe
The Lust for Gold,http://www.wikidata.org/entity/Q7749197,1922 film by Roy Darling
Life of Villa,http://www.wikidata.org/entity/Q13643527,1912 film by Christy Cabanne
For Freedom of Cuba,http://www.wikidata.org/entity/Q16028459,1912 film by Thomas H. Ince
Her Own Money,http://www.wikidata.org/entity/Q16251260,1922 film by Joseph Henabery
The Great Circus Catastrophe,http://www.wikidata.org/entity/Q16904088,1912 film by Eduard Schnedler-Sørensen
The Flying Circus,http://www.wikidata.org/entity/Q20494597,1912 film by Alfred Lind
Oliver Twist,http://www.wikidata.org/entity/Q373141,1933 American film directed by William J. Cowen
Passion,http://www.wikidata.org/entity/Q672061,1982 film by Jean-Luc Godard
The Midnight Wedding,http://www.wikidata.org/entity/Q7751333,1912 film by Raymond Longford
The Sin of a Woman,http://www.wikidata.org/entity/Q7764377,1912 film by Alfred Rolfe
Only a Woman,http://www.wikidata.org/entity/Q10426227,1941 film by Anders Henrikson
Saved in Mid-Air,http://www.wikidata.org/entity/Q10467429,1912 film by Mauritz Stiller
Magda,http://www.wikidata.org/entity/Q16574946,1917 film by Emile Chautard
The Mail Order Wife,http://www.wikidata.org/entity/Q3988163,1912 silent short film
The Prodigal Daughter,http://www.wikidata.org/entity/Q3208927,1981 film by Jacques Doillon
The Black Chancellor,http://www.wikidata.org/entity/Q20495333,1912 film by August Blom
Arizona,http://www.wikidata.org/entity/Q3196815,1931 film by George B. Seitz
The Adventures of Kathlyn,http://www.wikidata.org/entity/Q3283917,1913 film
Atlantis,http://www.wikidata.org/entity/Q3574023,1913 film by August Blom
Der Andere,http://www.wikidata.org/entity/Q1192178,1913 film by Max Mack directed by Max Mack
The Bartered Bride,http://www.wikidata.org/entity/Q43836,1932 German film directed by Max Ophüls
Zigomar contre Nick Carter,http://www.wikidata.org/entity/Q4024432,1912 film by Victorin-Hippolyte Jasset
'Neath Austral Skies,http://www.wikidata.org/entity/Q4540499,1913 film directed by Raymond Longford
Australia Calls,http://www.wikidata.org/entity/Q4823566,1923 film by Raymond Longford
The Last Bohemian,http://www.wikidata.org/entity/Q7745596,1912 film by Michael Curtiz
The Tide of Death,http://www.wikidata.org/entity/Q7769215,1912 film by Raymond Longford
Old Brandis' Eyes,http://www.wikidata.org/entity/Q15805695,1913 film by Stellan Rye
Zu spät,http://www.wikidata.org/entity/Q19760819,1913 film by Carl Froelich
